ID,Species,Sex,Male_Type,Body Weight (mg),Length (mm),Brain Weight (mg),Gonad Weight (mg),Liver Weight (mg),Intestine length (mm),Total Brain Cell Count (CV<0.10),Neuron Ratio
PIBC-2,P. parae,Male,Immaculata,98.1,16.974,2.7,4.5,2.5,,3247905.759,0.642200638
PIBC-3,P. parae,Male,Immaculata,113.4,21.766,3.6,4.9,1.6,,3041099.476,0.543237784
PIBC-4,P. parae,Male,Immaculata,66.7,15.723,2.6,4.4,1.4,,2945287.958,0.522054473
PIBC-5,P. parae,Male,Immaculata,139.8,20.743,3.5,5.5,1.8,10,3147643.979,0.505984722
PIBC-6,P. parae,Male,Immaculata,64.3,18.5,2.4,2.9,1,4,3033246.073,0.546863255
PIBC-7,P. parae,Male,Immaculata,90.2,17.972,2.8,4,1.6,9,3189528.796,0.486344463
PIBC-8,P. parae,Male,Immaculata,110.6,21.743,3.3,4.1,1.2,9,3174869.11,0.53735165
PIBC-9,P. parae,Male,Immaculata,143.8,21.992,3.5,5.3,2,12,3455759.162,0.526315789
PIBC-10,P. parae,Male,Immaculata,77.8,15.962,3,3.9,1.4,8.5,2863874.346,0.5
PMBC1,P. parae,Male,Melanzona,131.4,19.169,3.7,3.8,2.9,,3544240.838,0.517850038
PMBC2,P. parae,Male,Melanzona,91.4,18.417,3.9,2.9,2.2,,3075392.67,0.593709107
PMBC3,P. parae,Male,Melanzona,94.2,18.538,4,2.7,1.7,,3192146.597,0.699648091
PMBC4,P. parae,Male,Melanzona,167.1,20.214,4.7,4.1,4,,2970942.408,0.651077208
PMBC5,P. parae,Male,Melanzona,106.3,15.82,3,3.2,2.4,7,2935676.889,0.6875
PMBC6,P. parae,Male,Melanzona,141.5,17.95,3.1,3.6,3.6,11,2904450.262,0.484731535
PMBC7,P. parae,Male,Melanzona,207.9,22.046,4.6,4.3,4.5,13,3130628.272,0.474450815
PMBC8,P. parae,Male,Melanzona,155.6,21.078,4.1,3.6,2.2,9,3236125.654,0.653902942
PMBC9,P. parae,Male,Melanzona,123.3,20.238,3.8,3.2,1.9,7,2946335.079,0.707955745
PMBC10,P. parae,Male,Melanzona,119.6,16.788,3,3,3.4,10,3020942.408,0.545454546
PpicBC1,P. picta,Male,Picta Male,141.6,19.941,4.9,2.9,2.2,,3475392.67,0.764874996
PpicBC2,P. picta,Male,Picta Male,153.9,19.83,5.4,2.7,3.2,,3369895.288,0.764200531
PpicBC3,P. picta,Male,Picta Male,152.5,21.149,5.6,3.4,2,,3231675.393,0.688242453
PpicBC4,P. picta,Male,Picta Male,128.8,18.538,5.2,2.7,1.6,,3156544.503,0.625331468
PpicBC5,P. picta,Male,Picta Male,143.5,20.439,4.9,3.9,3.7,19,4284293.194,0.620614035
PpicBC6,P. picta,Male,Picta Male,235.9,22.765,5,5.8,6.2,19.5,3859947.644,0.576837417
PpicBC7,P. picta,Male,Picta Male,191.1,21.861,5,4.1,3.8,26,4062041.885,0.597457627
PpicBC8,P. picta,Male,Picta Male,183.3,19.656,4.3,4.9,3.3,19,4148691.099,0.695652174
PpicBC9,P. picta,Male,Picta Male,162.6,19.864,4,3.9,3.9,14,3051832.461,0.6
PpicBC10,P. picta,Male,Picta Male,189.7,21.416,4.4,5,2.9,18.5,3642408.377,0.736842105
PretBC1,P. reticulata,Male,Reticulata Male,80.4,15.873,3.6,1.8,1.6,,3162303.665,0.565752833
PretBC2,P. reticulata,Male,Reticulata Male,75.9,14.605,2.9,1.7,2.3,,3023036.649,0.697835715
PretBC3,P. reticulata,Male,Reticulata Male,71.2,15.322,2.8,2.4,2.7,,3035863.874,0.81605881
PretBC4,P. reticulata,Male,Reticulata Male,95.3,16.315,3.2,2.6,3.9,,2996073.298,0.780106294
PretBC5,P. reticulata,Male,Reticulata Male,78.9,15.566,3.1,2,2.5,9,3638481.675,0.62339808
PretBC6,P. reticulata,Male,Reticulata Male,61,14.03,2.9,1.6,1.4,6,3203141.361,0.593891102
PretBC7,P. reticulata,Male,Reticulata Male,85.6,17.417,3.5,2.5,2.5,11,3163350.785,0.588215924
PretBC8,P. reticulata,Male,Reticulata Male,62.8,14.096,3,1.7,1.8,12,2996858.639,0.512860767
PretBC9,P. reticulata,Male,Reticulata Male,59.5,14.746,2.7,2.5,1.2,8,2774607.33,0.6
PretBC11,P. reticulata,Male,Reticulata Male,74.2,15.5,2.3,2.5,0.7,9.3,4173429.319,0.578310649
PpicFBC1,P. picta,Female,,116.8,17.838,3.3,,,,3211518.325,0.619993774
PpicFBC2,P. picta,Female,,174.5,22.081,4,,,,3283246.073,0.673885234
PpicFBC4,P. picta,Female,,98.8,16.706,2.8,,,,3347382.199,0.636904762
PpicFBC5,P. picta,Female,,145.4,18.208,4.1,,,,3310209.424,0.664104278
PpicFBC5,P. picta,Female,,455,27.278,6.7,,11.4,34,3399476.44,0.613529549
PpicFBC6,P. picta,Female,,186.2,22.418,4,,4,13,3176439.791,0.652463064
PpicFBC7,P. picta,Female,,264.9,24.588,4.6,,5.3,33.5,3636387.435,0.520482676
PpicFBC8,P. picta,Female,,241.1,23.307,4.7,,5.4,35,3867539.267,0.595810058
PpicFBC9,P. picta,Female,,338.8,26,5.3,,5.1,26,4179057.592,0.519655958
PpicFBC10,P. picta,Female,,534,28.231,6.8,,12.4,36,4205497.382,0.593419443
PretFBC1,P. reticulata,Female,,157.3,18.06,3.6,,,,3475654.45,0.614583333
PretFBC2,P. reticulata,Female,,129.7,18.38,3.6,,,,3346858.639,0.570075758
PretFBC3,P. reticulata,Female,,129.2,18.263,3.9,,,,3470680.628,0.548997669
PretFBC4,P. reticulata,Female,,122.1,18.047,4,,,,3363089.005,0.609821429
PretFBC5,P. reticulata,Female,,211.2,22.035,4.2,,3.5,16,3532460.733,0.47011285
PretFBC6,P. reticulata,Female,,239.3,25.933,5.1,,4.3,17.5,4379057.592,0.631257356
PretFBC7,P. reticulata,Female,,128.6,18.519,3.3,,3.2,15,3723967.423,0.500544571
PretFBC8,P. reticulata,Female,,103.9,17.303,3.8,,2.6,14,3821989.529,0.567151623
PretFBC9,P. reticulata,Female,,202.1,22.516,3.9,,3.1,16.5,3410732.984,0.466582459
PretFBC10,P. reticulata,Female,,236.2,24.052,4.2,,6.6,18,3336649.215,0.469257555
